V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,term
-0.000773939102793168,0.000705510902261733,0.00128001867673717,-0.00126260040270335,0.00044043166374821,-0.00172811499830341,0.0172346249874004,-0.0286264541702435,-0.00907548835867881,0.00137909393196968,-0.00288460561594341,-0.00535981917108933,0.000472533714290173,0.00105484282622991,0.000968639516223495,-0.000377405395691684,mayes48
-0.00114781562576519,0.000671040250581382,0.0119641265192946,0.00122895381476836,0.000103623616022656,-0.00067791578065839,0.00313427964313003,-0.00249681393626808,0.00248083563890127,0.000203282447153506,-0.00140635046582359,-0.00227485292273536,-0.00619376219480841,-0.00180484916929466,0.0181028791124141,0.00314372051395427,classic soul qualities
-0.000568051728830095,0.000334667219304251,0.0011460222614106,-0.000323274494414467,0.000337143484737168,-0.0012975005217241,0.00753455321846396,-0.00643407740415414,0.0128418731035191,0.00171329345652094,-0.00503010291366393,-0.0108895153325257,0.00140237419210383,0.00162192559569499,-0.00512500672551908,0.000102566689037708,ed vedder
-0.00107380904395132,0.00262945770542519,0.00197145585310138,-0.00119886803208315,0.000477279463746234,-0.00187254343277443,0.0105580443270127,-0.00760230452938879,0.0151883133363739,0.001722014888481,-0.00580989633587126,-0.0108316007388642,0.000551278900999154,0.00108658014287245,-0.00037056632327541,0.000515649125919506,tavfm
-0.00277719052994101,0.000440574164204321,0.00335341038629416,-0.00471038565742819,0.000477463537159781,-0.00122730648462688,0.00660953692858748,-0.00574083648389553,0.0105029023584488,0.00172688709669802,-0.00491932521190801,-0.0080091226278447,0.00196516303393104,0.000112477322375252,0.0058911443530392,-0.00229635287671325,easy now
-0.000249558327779972,0.00487173902309362,0.00039094614711052,-0.000639373135513048,0.00017224641079041,-0.000786182538984432,0.0136607152167866,-0.00819865804271347,-0.00670355129565499,-0.00116243106053279,-0.00147650758395764,-0.00103298505667676,-0.00415603493113901,0.000761725926653141,0.00561718374268804,-0.00764277743223075,song that makes you want to dance after a shitty week
-0.00137068650616383,0.00144945202119877,0.00812633912868975,-0.00306164709323636,0.000504994527136999,-0.00220954017202283,0.0134238323112426,-0.0112595636503246,0.01906726580851,0.0021968327603513,-0.00856128609658958,-0.0245682866250453,-0.000656163229925973,0.000423470718099973,-0.000562633059266529,0.00861044940301128,stones
-0.0138869883573852,0.00530880103440573,0.00133029963172326,-0.00168144805132522,5.79693275607099e-05,-0.000777289188465751,0.00605256188707766,-0.00256317326922834,0.00519147964599537,0.000165754371384439,-0.00240360675360444,-0.00574011132553682,-0.00433305665504952,-0.000500886544270681,0.00465980629956407,-0.00773723925007778,sheer awesome
-0.010407971494053,0.00181857173093969,0.0545643564202319,0.0156205010950743,-0.00131736466057178,-0.000785793080965266,0.00499234010221455,-0.00437876775313035,0.00945808947416577,0.00110897626753862,-0.00411216345038502,-0.0115242426470164,0.000800957200418349,0.00169257727712781,-0.00525376684047002,0.00179494907332401,gamle ole
-0.000616341217136468,0.000307580267151426,0.00104505212883229,-0.000974923711568628,0.000352657971541362,-0.0011293145457979,0.00737277308924791,-0.00434996487696963,0.0075237044349625,0.000987238311017556,-0.0036103042248599,-0.00603315555081479,0.000987992749686973,0.00109944749573483,0.00252103918953353,-0.00272341116880869,i want to fuck this song
-0.000467392151479375,0.00231257606312297,0.00100286698888582,-0.00138914881894084,0.000415684310276901,-0.00126379028146789,0.0179180981925311,-0.00451347380125287,-0.00418501050550252,-0.00141853109862744,-0.00229950410865187,-0.00292284647391813,-0.00648047378253746,0.000144825684935777,0.0128630786120567,-0.00340075761802701,dance top
