V1,V2,V3,V4,term
-0.000555579636112063,0.000564344069515933,-0.000848424161035914,0.000302070196696311,mayes48
-0.00113995803059652,0.00070622846755405,-0.0118997488531587,0.00127146987306548,classic soul qualities
-0.000516017570721267,0.000422124947557296,-0.00105357723178942,-3.20668424468521e-05,ed vedder
-0.000977865560652386,0.00269710031415857,-0.00182990116000399,-0.000738328592701501,tavfm
-0.00271286110490693,0.00044192261970472,-0.00322306407177143,-0.0044521351180529,easy now
-5.03394905837149e-05,0.00466841914326969,-4.41958471898752e-05,0.000918420400004184,song that makes you want to dance after a shitty week
-0.00128955156298727,0.00154791996578762,-0.00786979051162365,-0.00239865036242178,stones
-0.0138099687899045,0.00529108620813459,-0.00119421495520611,-0.0011624383418456,sheer awesome
-0.0104195466139356,0.00209983781807104,-0.0546128245235973,0.015358193487481,gamle ole
-0.000544464246331482,0.000316678892647087,-0.000920597064256131,-0.000526606402267439,i want to fuck this song
-0.000232308933092196,0.00206267038047608,-0.000567105712424269,0.000499611593208657,dance top
-0.000643045876633488,0.000559866220156608,-0.00203207355108638,-0.00118474316519842,good ghosts from the past
-0.00192371728863369,0.000931494789547517,-0.00321119539029606,-0.00149439287301901,oldiess
-0.000430936750524872,0.000477335492752639,-0.00109726078507273,-0.00128156109936266,aana
-0.00026857611986058,0.00147416021811422,-0.000640014871616434,-5.19848272089402e-05,poppy punky rock
-0.000713435272886403,0.000663196517035357,-0.000846388344678704,-0.000434252478268207,hurina
0.000530753729101052,-0.000729204746648041,0.000366034342973249,0.00395267850337093,my trance
-0.0010094005877234,0.000498111964240765,-0.00255835049931212,-0.00131945830588336,best of artist
-0.000626542873771685,0.000436833836980656,-0.00132302151338718,-0.0012089179454984,commercial
-0.000133191356878578,0.000608422680101736,-0.00138446217388094,-0.00194382254344986,dth
-0.000947741975820793,0.00076835909032772,-0.00231441093259361,-0.00153750432172041,soft moods
-0.000844808055259284,0.000531969063549881,-0.00351233117700116,-0.000315287588441595,better than radiohead
-0.00686741492787938,0.000647548413336157,-0.00347041668986101,0.000333691063057798,tower of song
3.67450001715456e-05,7.33087276331924e-05,-2.47401287381912e-05,0.0012222382767757,a highly synthetic sonority
-0.000493522159458724,0.000547793647090697,-0.00115428802991375,-0.000398139770769441,modern romance
-0.00133686481046521,0.000720031972704512,-0.00461795410219018,-0.000316562949967575,music for my soul
-0.00118726950335183,0.000854654911014982,-0.0265984577731354,-0.0864405383757885,station 9
-0.00158542542818146,0.00570583130512345,-0.00288645072944102,-0.00115178806778048,as good as it gets
-0.00181248297990558,0.00110881732152339,-0.00714469037119199,0.00107136472606063,barbwire clasic rock
-0.00036335400234365,0.000410309631791299,-0.00136835149208197,-0.000107998658382193,vemu
-0.00143020031360967,0.000361402117575265,-0.00129110902471063,-0.00161146089068114,the big questions
-0.000402438233123663,0.000807657259618089,-0.000955764745519677,0.000506332578566745,all time favs
1.30186706277928e-06,0.000476256963448819,-0.000147297092235066,0.000860078432261513,clear pronunciation
-0.000880512001052543,0.000894807180865354,-0.00145874783401472,-1.30862640572118e-05,great words
-0.00133495643901243,0.0065670613168893,-0.00157325775622966,-0.00294674042157758,guzel
-0.0020518274674933,0.00130669924688003,-0.0159056527460289,0.00287483263208178,legends of rock
-0.000737856502859933,0.00450695915683132,-0.00142135481153006,-0.000440801065824309,kloron - top 500 van 2006
